case_id,label,focus_component,component_label,regime,regime_label,throughput_weight,jain_weight,service_weight,x_weight,global_env_steps,seed,profile_seed,validation_seed,device,run_status,goodput_bits_per_slot,jain_fairness,max_starvation_rate,worst_p99_wait_slots,max_wait_slots,service_score,raw_x_score,throughput_score,fairness_score,reward,training_final_reward,training_jain_last32,deterministic_jain,stochastic_deterministic_jain_gap,throughput_contribution,jain_contribution,service_contribution,x_contribution,first_zero_starvation_step,best_safe_checkpoint_step,minimum_observed_starvation_rate,maximum_observed_jain,stability,late_collapse_flag,late_degradation_flag,delta_goodput_vs_equal_third,delta_goodput_pct_vs_equal_third,delta_jain_vs_equal_third,delta_p99_vs_equal_third,delta_max_wait_vs_equal_third
pf_utility_group_tj,Giữ nhóm Throughput + Jain: PF utility,pf_utility,PF utility,group_throughput_fairness,Giữ nhóm Throughput + Jain: 0.30/0.30/0.10/0.30,0.3,0.3,0.1,0.3,100096,1701,1701,1701,cpu,completed,137053.05872573852,0.0723760296988164,0.3941666666666666,4784.0,5000.0,0.7246948899739584,0.0645755329572659,0.695048721524115,0.0717804364408547,0.3218908962740665,0.4105218251437278,0.6107530834754199,0.0723760296988164,0.5383770537766035,0.2085146164572345,0.0215341309322564,0.0724694889973958,0.0193726598871797,,,0.235,0.147923105376616,Full collapse,False,False,39642.039760738524,40.695642219882735,-0.19526361240118362,4737.0,4952.0
urgency_service_group_tj,Giữ nhóm Throughput + Jain: Urgency service,urgency_service,Urgency service,group_throughput_fairness,Giữ nhóm Throughput + Jain: 0.30/0.30/0.10/0.30,0.3,0.3,0.1,0.3,100096,1701,1701,1701,cpu,completed,9364.754399249268,0.045815640015112,0.9466666666666668,5000.0,5000.0,0.0615502401041666,0.0111762670937165,0.0474922678348305,0.0458162774926268,0.0375004677367688,0.4480213666170263,0.6434590445825901,0.045815640015112,0.5976434045674781,0.0142476803504491,0.013744883247788,0.0061550240104166,0.0033528801281149,,,0.9466666666666668,0.0472504697609198,Full collapse,False,False,-88046.26456575072,-90.38635002615665,-0.221824002084888,4953.0,4952.0
deficit_service_anchor_preserving,Giữ nhóm Throughput + Service: Throughput-deficit service,deficit_service,Throughput-deficit service,group_throughput_service,Giữ nhóm Throughput + Service: 0.30/0.10/0.30/0.30,0.3,0.1,0.3,0.3,100096,1701,1701,1701,cpu,completed,92634.11824542387,0.2921135641111174,0.0,43.0,44.0,0.93195310078125,0.372925980510746,0.469783206990214,0.2848474808882031,0.5608834345734832,0.570818319581271,0.5972793676437167,0.2921135641111174,0.3051658035325993,0.1409349620970642,0.0284847480888203,0.279585930234375,0.1118777941532237,32768.0,100096.0,0.0,0.2926994506298692,Stable,False,False,-4776.900719576122,-4.903860744226973,0.024473922011117366,-4.0,-4.0
low_throughput_anchor_preserving,Giữ nhóm Throughput + Service: Low-throughput percentile,low_throughput,Low-throughput percentile,group_throughput_service,Giữ nhóm Throughput + Service: 0.30/0.10/0.30/0.30,0.3,0.1,0.3,0.3,100096,1701,1701,1701,cpu,completed,9019.477632276916,0.0458176905089955,0.9466666666666668,5000.0,5000.0,0.0615528156249999,0.0,0.0457412366817327,0.0458483556303715,0.0367730512550569,0.4232470912700694,0.6355280583997571,0.0458176905089955,0.5897103678907616,0.0137223710045198,0.0045848355630371,0.0184658446874999,0.0,,,0.1075,0.1348502157181313,Full collapse,False,False,-88391.54133272308,-90.74080352704489,-0.2218219515910045,4953.0,4952.0
pf_utility_anchor_preserving,Giữ nhóm Throughput + Service: PF utility,pf_utility,PF utility,group_throughput_service,Giữ nhóm Throughput + Service: 0.30/0.10/0.30/0.30,0.3,0.1,0.3,0.3,100096,1701,1701,1701,cpu,completed,9194.14245586853,0.0453503135831709,0.9466666666666668,5000.0,5000.0,0.0615458066406249,0.0333995990750264,0.0466270291146876,0.0453403193775336,0.047005762386855,0.4526174255380035,0.6498764830054365,0.0453503135831709,0.6045261694222657,0.0139881087344063,0.0045340319377533,0.0184637419921874,0.0100198797225079,,,0.9466666666666668,0.0733663856818867,Full collapse,False,False,-88216.87650913147,-90.56149647795799,-0.22228932851682912,4953.0,4952.0
urgency_service_anchor_preserving,Giữ nhóm Throughput + Service: Urgency service,urgency_service,Urgency service,group_throughput_service,Giữ nhóm Throughput + Service: 0.30/0.10/0.30/0.30,0.3,0.1,0.3,0.3,100096,1701,1701,1701,cpu,completed,131924.09026239015,0.0504117399723847,0.9466666666666668,5000.0,5000.0,0.0725709484374999,0.0191975304178503,0.6690377517118935,0.0588567901163956,0.2341275481818127,0.5477574457236679,0.6070836771212713,0.0504117399723847,0.5566719371488866,0.200711325513568,0.0058856790116395,0.0217712845312499,0.0057592591253551,49152.0,49152.0,0.0,0.1343003225214722,Late collapse,True,False,34513.07129739015,35.43035650801556,-0.21722790212761534,4953.0,4952.0
deficit_service_hold_jain,Giữ Jain: Throughput-deficit service,deficit_service,Throughput-deficit service,hold_fairness,Giữ Jain: 0.20/0.25/0.20/0.35,0.2,0.25,0.2,0.35,100096,1701,1701,1701,cpu,completed,98210.31940348052,0.2672728477708437,0.0,48.0,50.0,0.9236741721354168,0.3549465636398866,0.4980622656402249,0.25421682114248,0.4721327901147086,0.53780552202183,0.5912771007385014,0.2672728477708437,0.32400425296765767,0.099612453128045,0.06355420528562,0.1847348344270833,0.1242312972739602,49152.0,100096.0,0.0,0.2672728477708437,Stable,False,False,799.3004384805245,0.8205441714635109,-0.00036679432915631693,1.0,2.0
low_throughput_hold_jain,Giữ Jain: Low-throughput percentile,low_throughput,Low-throughput percentile,hold_fairness,Giữ Jain: 0.20/0.25/0.20/0.35,0.2,0.25,0.2,0.35,100096,1701,1701,1701,cpu,completed,7949.056851478576,0.0468949294576947,0.9466666666666668,5000.0,5000.0,0.0615366884114582,0.0,0.0403127216080519,0.0468621970509055,0.0320854312666284,0.3740214395349482,0.6441565803725205,0.0468949294576947,0.5972616509148259,0.0080625443216103,0.0117155492627263,0.0123073376822916,0.0,,,0.9458333333333332,0.0567256378269421,Full collapse,False,False,-89461.96211352143,-91.83967385215969,-0.22074471264230533,4953.0,4952.0
pf_utility_hold_jain,Giữ Jain: PF utility,pf_utility,PF utility,hold_fairness,Giữ Jain: 0.20/0.25/0.20/0.35,0.2,0.25,0.2,0.35,100096,1701,1701,1701,cpu,completed,106570.4116707016,0.1305444380159416,0.0,56.0,59.0,0.9058466815104168,0.0728149067531743,0.5404595057761316,0.1297435761023798,0.3471823488465156,0.439750235756802,0.5758131401238342,0.1305444380159416,0.4452687021078926,0.1080919011552263,0.0324358940255949,0.1811693363020833,0.025485217363611,65536.0,81920.0,0.0,0.1453005500594938,Stable,False,False,9159.392705701597,9.402830196235378,-0.13709520408405843,9.0,11.0
urgency_service_hold_jain,Giữ Jain: Urgency service,urgency_service,Urgency service,hold_fairness,Giữ Jain: 0.20/0.25/0.20/0.35,0.2,0.25,0.2,0.35,100096,1701,1701,1701,cpu,completed,113432.25627304688,0.0993435590725212,0.0291666666666666,69.0,84.0,0.8864383509114583,0.3670027341879247,0.5752585563226886,0.0993474586108423,0.4456272030653136,0.524267361209649,0.5966067462523991,0.0993435590725212,0.4972631871798779,0.1150517112645377,0.0248368646527105,0.1772876701822917,0.1284509569657736,65536.0,65536.0,0.0,0.208477959712089,Borderline,False,True,16021.237308046882,16.4470482685366,-0.16829608302747884,22.0,36.0
