case_id,case_label,mode,seed,window_end_slot,window_slots,unique_selected_ues,unique_successful_ues,never_selected_ues_so_far,never_successful_ues_so_far,selection_top64_share_so_far,selection_gini_so_far,success_gini_so_far
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4992,64,1200,1200,0,0,0.1839787409855769,0.2665852968916933,0.2663023102574177
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,5000,64,1200,1200,0,0,0.183959375,0.2665656145833333,0.266297674964908
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,64,64,1182,1176,18,24,0.112060546875,0.268121337890625,0.2786272250835818
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,128,64,1192,1186,0,0,0.093994140625,0.18828125,0.1955975013579577
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,192,64,1186,1178,0,0,0.087646484375,0.1579889594184027,0.1642230281051676
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,256,64,1184,1174,0,0,0.08392333984375,0.1421437581380208,0.1471644896478217
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,320,64,1185,1179,0,0,0.0814453125,0.13010498046875,0.1355179250407386
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,384,64,1187,1178,0,0,0.0802001953125,0.1217952473958333,0.1272222850764056
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,448,64,1191,1185,0,0,0.0782993861607142,0.1154804920014881,0.1195681142561716
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,512,64,1189,1185,0,0,0.0772705078125,0.1114749145507812,0.1149148459763876
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,576,64,1183,1180,0,0,0.0762803819444444,0.1078887713396991,0.1112084388694569
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,640,64,1188,1185,0,0,0.075732421875,0.1046151936848957,0.1083507617885076
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,704,64,1189,1180,0,0,0.0752840909090909,0.1019072931463068,0.1051234347121843
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,768,64,1190,1181,0,0,0.0746866861979166,0.0997879706488714,0.1023025646244656
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,832,64,1191,1188,0,0,0.074199969951923,0.0968509928385416,0.099887504959178
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,896,64,1183,1176,0,0,0.0740094866071428,0.0950195021856399,0.0976802614226979
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,960,64,1193,1185,0,0,0.0740559895833333,0.0940057237413194,0.0966973342022216
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1024,64,1193,1186,0,0,0.0737762451171875,0.0927179718017578,0.0952254878662887
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1088,64,1191,1187,0,0,0.0735581341911764,0.0914588359757965,0.0937633322151045
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1152,64,1194,1192,0,0,0.0732693142361111,0.0901125081380208,0.0922207638071673
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1216,64,1188,1185,0,0,0.0729081003289473,0.0888853695518092,0.0909571616463423
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1280,64,1196,1186,0,0,0.07291259765625,0.0879450480143229,0.0899383177146995
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1344,64,1190,1186,0,0,0.0724051339285714,0.0866954210069443,0.0887881962407311
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1408,64,1185,1178,0,0,0.0721435546875,0.085894054066051,0.0878384346395144
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1472,64,1187,1184,0,0,0.0718516474184782,0.08542871447577,0.0872620987100481
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1536,64,1187,1183,0,0,0.0717366536458333,0.0844946967230902,0.0860829052479124
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1600,64,1190,1184,0,0,0.071513671875,0.0838134277343749,0.085501371861279
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1664,64,1184,1174,0,0,0.0713735727163461,0.0833230356069712,0.0849668740518044
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1728,64,1195,1192,0,0,0.0712619357638889,0.0822440441743827,0.0836587245735732
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1792,64,1188,1182,0,0,0.0710536411830357,0.081830575125558,0.0832737483435147
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1856,64,1187,1183,0,0,0.0709607354525862,0.0813203377559267,0.0828157824135166
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1920,64,1188,1183,0,0,0.0709879557291666,0.080850111219618,0.0822428150131622
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,1984,64,1192,1187,0,0,0.0708244077620967,0.0802899629326276,0.0817071628045418
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2048,64,1184,1178,0,0,0.0706558227539062,0.0796500523885091,0.0810655302066548
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2112,64,1185,1181,0,0,0.0706454190340909,0.0790050159801135,0.0803852591148724
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2176,64,1189,1184,0,0,0.0704991957720588,0.0788377230775122,0.0800593337590464
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2240,64,1185,1180,0,0,0.070361328125,0.0782488257998511,0.0794010590296621
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2304,64,1194,1187,0,0,0.0704006618923611,0.0776318133318866,0.0789778016402296
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2368,64,1186,1179,0,0,0.0703190983952702,0.0773968230926239,0.0787944728751508
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2432,64,1189,1184,0,0,0.0702675267269736,0.0773100200452302,0.0785168440792277
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2496,64,1187,1182,0,0,0.0702185997596153,0.0768440963875535,0.0781306155904441
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2560,64,1194,1192,0,0,0.0700927734375,0.0764492899576822,0.0775851866170196
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2624,64,1181,1180,0,0,0.0700862233231707,0.0764959865663109,0.0778263099381924
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2688,64,1189,1183,0,0,0.0700567336309523,0.0763402351500496,0.0776986103305794
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2752,64,1189,1183,0,0,0.0700853924418604,0.0764174350472383,0.0778162089004145
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2816,64,1189,1183,0,0,0.070101651278409,0.0764069898200758,0.0778336314112448
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2880,64,1193,1187,0,0,0.0699273003472222,0.076175537109375,0.0776807140546221
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,2944,64,1191,1186,0,0,0.0699144446331521,0.0760678056357562,0.0774413242439967
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3008,64,1192,1188,0,0,0.0698813580452127,0.0758713829094637,0.0770651145209969
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3072,64,1195,1190,0,0,0.0697377522786458,0.0756870608859592,0.0766766456632099
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3136,64,1191,1185,0,0,0.0697694116709183,0.075663531037415,0.0766266783291629
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3200,64,1186,1181,0,0,0.0697998046875,0.0755874348958334,0.0765249094743543
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3264,64,1190,1185,0,0,0.0697715609681372,0.0755725895501429,0.0765217156132509
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3328,64,1188,1186,0,0,0.0697256234975961,0.0753356385842348,0.0763636592890956
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3392,64,1191,1181,0,0,0.0696998452240566,0.0753916998329401,0.0764012946226648
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3456,64,1191,1188,0,0,0.0695891203703703,0.0754318953149112,0.0763448408710218
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3520,64,1193,1187,0,0,0.06953125,0.0751706247040719,0.0761314600423228
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3584,64,1190,1184,0,0,0.0696193150111607,0.0751849873860677,0.0760572003101075
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3648,64,1195,1188,0,0,0.069567228618421,0.0752411995157164,0.0761701881175234
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3712,64,1191,1186,0,0,0.0695464035560344,0.0751147531092851,0.0760465646712049
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3776,64,1184,1176,0,0,0.0695221464512711,0.0748172186727578,0.0757684462514199
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3840,64,1185,1181,0,0,0.06949462890625,0.0747410278320311,0.0756187067984291
t0375_j0625,37.5% throughput + 62.5% Jain fairness,stochastic,1701,3904,64,1185,1174,0,0,0.0695120389344262,0.0749489372545252,0.0758300192026808
