case_id,case_label,mode,seed,ue_id,selected_slots,successful_slots,selection_fraction,success_fraction,final_delivered_bits,final_wait_slots,cqi,demand_factor
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,747,285,246,0.057,0.0492,684257.1877441406,9,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,748,289,253,0.0578,0.0506,419750.8249511719,11,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,749,265,241,0.053,0.0482,88744.47685241699,5,4,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,750,268,237,0.0536,0.0474,567750.8900756836,49,12,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,751,251,228,0.0502,0.0456,168010.90228271484,5,6,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,752,243,211,0.0486,0.0422,510242.8555297852,14,12,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,753,297,271,0.0594,0.0542,863203.5419921875,70,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,754,259,232,0.0518,0.0464,125695.28979492188,20,5,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,755,290,267,0.058,0.0534,744382.9387207031,16,13,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,756,271,241,0.0542,0.0482,221019.38256835935,4,7,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,757,261,240,0.0522,0.048,220379.36505126956,41,7,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,758,284,259,0.0568,0.0518,437503.44442749023,13,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,759,283,263,0.0566,0.0526,737847.5310058594,10,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,760,263,235,0.0526,0.047,554783.3920898438,17,12,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,761,283,257,0.0566,0.0514,189075.969909668,4,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,762,237,213,0.0474,0.0426,115431.86391448976,29,5,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,763,293,258,0.0586,0.0516,308905.4500732422,21,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,764,261,237,0.0522,0.0474,393319.147064209,81,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,765,300,274,0.06,0.0548,555846.8204956055,12,11,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,766,264,237,0.0528,0.0474,279038.13708496094,11,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,767,267,237,0.0534,0.0474,173786.80792236328,53,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,768,306,272,0.0612,0.0544,404331.2106628418,23,9,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,769,259,237,0.0518,0.0474,280420.8830566406,29,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,770,296,265,0.0592,0.053,445788.0001831055,10,10,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,771,263,224,0.0526,0.0448,460325.6484069824,19,11,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,772,288,247,0.0576,0.0494,132537.57371520996,8,5,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,773,269,236,0.0538,0.0472,279314.6862792969,26,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,774,265,229,0.053,0.0458,340361.3544616699,22,9,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,775,257,237,0.0514,0.0474,281527.0798339844,4,8,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,776,280,250,0.056,0.05,93090.4355621338,8,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,777,248,228,0.0496,0.0456,84572.35649108887,7,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,778,225,194,0.045,0.0388,18725.6618347168,5,1,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,779,302,273,0.0604,0.0546,773792.2734375,8,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,780,255,227,0.051,0.0454,52780.42575073242,5,3,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,781,259,235,0.0518,0.047,387401.60723876953,65,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,782,304,271,0.0608,0.0542,461568.1063842773,9,10,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,783,296,264,0.0592,0.0528,902058.3654785156,35,15,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,784,271,241,0.0542,0.0482,223366.11346435547,23,7,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,785,260,233,0.052,0.0466,485285.9546813965,10,11,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,786,253,233,0.0506,0.0466,87266.85089111328,20,4,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,787,268,235,0.0536,0.047,279314.6862792969,0,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,788,243,216,0.0486,0.0432,31258.42115020752,6,2,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,789,231,210,0.0462,0.042,49185.47415161133,0,3,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,790,259,227,0.0518,0.0454,532231.2216796875,28,12,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,791,273,248,0.0546,0.0496,420145.3276062012,1,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,792,291,262,0.0582,0.0524,719548.3894042969,12,13,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,793,265,243,0.053,0.0486,352529.5336303711,0,9,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,794,297,263,0.0594,0.0526,890020.2200317383,45,15,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,795,280,256,0.056,0.0512,24512.793518066406,7,1,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,796,295,260,0.059,0.052,805558.0999755859,3,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,797,256,216,0.0512,0.0432,80834.83200073242,35,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,798,294,260,0.0588,0.052,532326.5318908691,4,11,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,799,259,235,0.0518,0.047,221446.06091308597,14,7,1.0
